id_vaga,titulo,descricao,organizacao,data_publicacao,localizacao
1,Ocara Solidária,Evento feito para as crianças no período de Natal,Mafo,2023-11-23,Ocara - CE
2,Desenvolvedor Voluntário,Auxiliar no desenvolvimento de sistemas para ONGs,Tech for Good,2024-11-23,São Paulo, SP
3,Instrutor de Artesanato,Ensinar técnicas de artesanato para jovens,Centro Cultural ArteViva,2024-11-19,Belo Horizonte - MG
4,Acompanhante de Pacientes,Leitura para pacientes,Hospital do Bem,2024-11-21,Quixadá
5,Reforço Escolar,Ajudar crianças e adolescentes com reforço em português e matemática,Projeto Educação para Todos,2024-11-22,Fortaleza - CE
6,Guia de Museu,Apoiar a recepção e orientação de visitantes no museu local,Casa Cego Aderaldo,2024-11-19,Fortaleza - CE
7,Limpeza de Praias,Contribuir em mutirões para remoção de resíduos das praias,ONG Praia Limpa,2024-11-15,Aracati - CE
8,Instrutor de Capoeira,Ensinar aulas de capoeira para jovens e crianças,Associação Cultural Axé Brasil,2024-11-17,Maracanaú - CE
9,Plantio de Mudas,Participar de ações de reflorestamento na região,Associação Reflorestar Ceará,2024-11-18,Quixadá - CE
10,Distribuidor de Alimentos,Apoiar a distribuição de cestas básicas em comunidades vulneráveis,Cruz Vermelha Ceará,2024-11-23,Sobral - CE
